"","Estimate","Std. Error","t value","Pr(>|t|)"
"Intercept","69.693","20.322","3.429","0.002"
"Group","86.511","34.959","2.475","0.02"
"empathy","-5.71","6.162","-0.927","0.363"
"Group * empathy","-20.664","9.683","-2.134","0.043"
"Intercept","41.284","16.499","2.502","0.019"
"Group","23.862","27.624","0.864","0.396"
"paranoia","0.28","0.446","0.627","0.536"
"Group * paranoia","-0.698","1.153","-0.605","0.55"
"Intercept","69.379","29.111","2.383","0.025"
"Group","-5.936","39.015","-0.152","0.88"
"need.for.cognition","-0.292","0.462","-0.633","0.533"
"Group * need.for.cognition","0.191","0.596","0.321","0.751"
